x_mm,y_mm,z_mm
-28.6030701409,-6.7522689184,-39.5229583520
28.6030701409,-6.7522689184,8.6143488480
-35.3553390593,-10.9254006112,-30.3295507403
28.6030701409,-6.7522689184,-8.6143488480
-17.6776695297,-10.9254006112,-43.1712248185
28.6030701409,-10.9254006112,-20.1992063672
35.3553390593,-10.9254006112,-0.5790587638
46.2807396705,-10.9254006112,3.2903884690
39.5284707521,-17.6776695297,5.3239603790
-28.6030701409,-6.7522689184,39.5229583520
46.2807396705,-6.7522689184,14.8752459882
-10.9254006112,-35.3553390593,14.5173679907
-10.9254006112,-17.6776695297,-45.2047967285
10.9254006112,-17.6776695297,-45.2047967285
0.0000000000,-10.9254006112,-48.7163659638
10.9254006112,-10.9254006112,-44.8469187310
17.6776695297,-17.6776695297,-42.8133468210
0.0000000000,-6.7522689184,-48.4951851975
35.3553390593,-17.6776695297,-18.1656344572
46.2807396705,-17.6776695297,-3.6482664665
28.6030701409,-6.7522689184,39.5229583520
-10.9254006112,-10.9254006112,-34.1989979730
-28.6030701409,-17.6776695297,-28.2959788302
-17.6776695297,-17.6776695297,-36.2325698830
-28.6030701409,-10.9254006112,-21.3573238948
-28.6030701409,-17.6776695297,-9.9091636068
-17.6776695297,-6.7522689184,-25.0055903613
39.5284707521,-10.9254006112,24.0686536000
28.6030701409,-10.9254006112,20.1992063672
35.3553390593,-17.6776695297,18.1656344572
28.6030701409,-10.9254006112,39.3017775857
35.3553390593,-17.6776695297,29.9716727428
17.6776695297,-17.6776695297,23.7107756025
10.9254006112,-10.9254006112,33.0408804454
0.0000000000,-6.7522689184,29.3926139790
-10.9254006112,-46.2807396705,3.2903884690
-17.6776695297,-39.5284707521,5.3239603790
-35.3553390593,-28.6030701409,-0.3578779975
-28.6030701409,-35.3553390593,8.9722268455
-17.6776695297,-35.3553390593,-6.2608971403
-28.6030701409,-28.6030701409,-21.1361431285
-28.6030701409,-28.6030701409,-9.7724663755
17.6776695297,-10.9254006112,-4.9660823815
-35.3553390593,-10.9254006112,30.3295507403
-39.5284707521,-17.6776695297,24.4265315975
-46.2807396705,-10.9254006112,15.0964267545
-28.6030701409,-10.9254006112,-39.3017775857
-17.6776695297,-17.6776695297,-42.8133468210
-10.9254006112,-10.9254006112,-44.8469187310
17.6776695297,-10.9254006112,-43.1712248185
17.6776695297,-28.6030701409,-35.6535111192
28.6030701409,-28.6030701409,-27.7169200665
28.6030701409,-28.6030701409,-20.4203871335
28.6030701409,-35.3553390593,-8.9722268455
-17.6776695297,-10.9254006112,43.1712248185
17.6776695297,-10.9254006112,43.1712248185
35.3553390593,-10.9254006112,0.5790587638
35.3553390593,-28.6030701409,18.7446932210
39.5284707521,-17.6776695297,-5.3239603790
39.5284707521,-17.6776695297,24.4265315975
46.2807396705,-10.9254006112,15.0964267545
35.3553390593,-28.6030701409,0.3578779975
39.5284707521,-28.6030701409,5.9030191428
46.2807396705,-17.6776695297,3.6482664665
46.2807396705,-10.9254006112,-3.2903884690
35.3553390593,-10.9254006112,30.3295507403
28.6030701409,-35.3553390593,20.7782651310
0.0000000000,-46.2807396705,11.2269795218
0.0000000000,-39.5284707521,18.1656344572
10.9254006112,-35.3553390593,14.5173679907
10.9254006112,-46.2807396705,15.0964267545
17.6776695297,-39.5284707521,24.4265315975
0.0000000000,-46.2807396705,18.5235124547
17.6776695297,-28.6030701409,23.8474728337
28.6030701409,-28.6030701409,20.4203871335
28.6030701409,-28.6030701409,27.7169200665
17.6776695297,-10.9254006112,4.9660823815
6.7522689184,-28.6030701409,8.6143488480
-6.7522689184,-28.6030701409,8.6143488480
10.9254006112,-17.6776695297,14.2961872244
-10.9254006112,-28.6030701409,-4.2273252303
-10.9254006112,-10.9254006112,-15.8121827495
-17.6776695297,-17.6776695297,-6.4820779066
0.0000000000,-10.9254006112,17.8077564597
-10.9254006112,-17.6776695297,14.2961872244
-17.6776695297,-10.9254006112,4.9660823815
-28.6030701409,-10.9254006112,39.3017775857
-17.6776695297,-28.6030701409,23.8474728337
-35.3553390593,-17.6776695297,29.9716727428
-28.6030701409,-28.6030701409,27.7169200665
-28.6030701409,-28.6030701409,20.4203871335
-10.9254006112,-10.9254006112,33.0408804454
-17.6776695297,-17.6776695297,23.7107756025
-28.6030701409,-10.9254006112,-20.1992063672
-28.6030701409,-35.3553390593,20.7782651310
-10.9254006112,-46.2807396705,15.0964267545
-17.6776695297,-46.2807396705,5.6818383765
-17.6776695297,-39.5284707521,24.4265315975
-28.6030701409,-39.5284707521,9.1934076117
-35.3553390593,-28.6030701409,18.7446932210
46.2807396705,-6.7522689184,-14.8752459882
28.6030701409,-10.9254006112,-39.3017775857
46.2807396705,-10.9254006112,-15.0964267545
39.5284707521,-17.6776695297,-24.4265315975
39.5284707521,-10.9254006112,-24.0686536000
35.3553390593,-17.6776695297,-29.9716727428
28.6030701409,-6.7522689184,-39.5229583520
35.3553390593,-10.9254006112,-30.3295507403
-6.7522689184,-28.6030701409,-39.5229583520
6.7522689184,-28.6030701409,-39.5229583520
-6.7522689184,-46.2807396705,-9.5512856093
-10.9254006112,-28.6030701409,-33.9778172067
-17.6776695297,-35.3553390593,-24.6477123638
-10.9254006112,-39.5284707521,-15.4543047520
10.9254006112,-35.3553390593,-33.6199392092
17.6776695297,-6.7522689184,25.0055903613
17.6776695297,-35.3553390593,24.6477123638
17.6776695297,-17.6776695297,6.4820779066
10.9254006112,-10.9254006112,15.8121827495
10.9254006112,-10.9254006112,34.1989979730
17.6776695297,-17.6776695297,36.2325698830
10.9254006112,-28.6030701409,33.9778172067
28.6030701409,-17.6776695297,28.2959788302
28.6030701409,-10.9254006112,21.3573238948
28.6030701409,-28.6030701409,9.7724663755
28.6030701409,-28.6030701409,21.1361431285
28.6030701409,-17.6776695297,9.9091636068
0.0000000000,-6.7522689184,48.4951851975
-10.9254006112,-35.3553390593,33.6199392092
10.9254006112,-10.9254006112,44.8469187310
17.6776695297,-17.6776695297,42.8133468210
6.7522689184,-17.6776695297,38.9438995882
-6.7522689184,-28.6030701409,39.5229583520
6.7522689184,-28.6030701409,39.5229583520
-10.9254006112,-17.6776695297,45.2047967285
0.0000000000,-10.9254006112,48.7163659638
10.9254006112,-17.6776695297,45.2047967285
17.6776695297,-28.6030701409,35.6535111192
10.9254006112,-28.6030701409,33.2620612117
10.9254006112,-35.3553390593,33.6199392092
0.0000000000,-39.5284707521,29.9716727428
0.0000000000,-35.3553390593,29.7504919765
-6.7522689184,-17.6776695297,38.9438995882
-10.9254006112,-28.6030701409,33.2620612117
-10.9254006112,-10.9254006112,44.8469187310
-17.6776695297,-17.6776695297,42.8133468210
-17.6776695297,-28.6030701409,35.6535111192
-35.3553390593,-10.9254006112,-0.5790587638
-46.2807396705,-10.9254006112,3.2903884690
-39.5284707521,-17.6776695297,5.3239603790
-46.2807396705,-6.7522689184,14.8752459882
-28.6030701409,-6.7522689184,8.6143488480
-28.6030701409,-10.9254006112,20.1992063672
-35.3553390593,-17.6776695297,18.1656344572
-39.5284707521,-10.9254006112,24.0686536000
6.7522689184,-17.6776695297,-38.9438995882
17.6776695297,-17.6776695297,-23.7107756025
10.9254006112,-10.9254006112,-33.0408804454
-6.7522689184,-17.6776695297,-38.9438995882
10.9254006112,-17.6776695297,-14.2961872244
10.9254006112,-28.6030701409,-33.2620612117
17.6776695297,-28.6030701409,-23.8474728337
-10.9254006112,-10.9254006112,-33.0408804454
-17.6776695297,-17.6776695297,-23.7107756025
-10.9254006112,-17.6776695297,-14.2961872244
0.0000000000,-10.9254006112,-17.8077564597
0.0000000000,-6.7522689184,-29.3926139790
-35.3553390593,-10.9254006112,0.5790587638
-17.6776695297,-10.9254006112,-4.9660823815
-28.6030701409,-6.7522689184,-8.6143488480
-39.5284707521,-17.6776695297,-24.4265315975
-46.2807396705,-10.9254006112,-15.0964267545
-39.5284707521,-28.6030701409,-5.9030191428
-46.2807396705,-17.6776695297,-3.6482664665
-46.2807396705,-6.7522689184,-14.8752459882
-35.3553390593,-28.6030701409,-18.7446932210
-46.2807396705,-10.9254006112,-3.2903884690
-39.5284707521,-17.6776695297,-5.3239603790
-46.2807396705,-17.6776695297,3.6482664665
-39.5284707521,-10.9254006112,-24.0686536000
-35.3553390593,-17.6776695297,-18.1656344572
-35.3553390593,-17.6776695297,-29.9716727428
-35.3553390593,-28.6030701409,0.3578779975
-39.5284707521,-28.6030701409,5.9030191428
-35.3553390593,-35.3553390593,0.0000000000
28.6030701409,-17.6776695297,-9.9091636068
0.0000000000,-17.6776695297,-30.6874287378
10.9254006112,-10.9254006112,-34.1989979730
17.6776695297,-17.6776695297,-36.2325698830
17.6776695297,-6.7522689184,-25.0055903613
28.6030701409,-17.6776695297,-28.2959788302
28.6030701409,-10.9254006112,-21.3573238948
0.0000000000,-17.6776695297,-19.3237519848
0.0000000000,-28.6030701409,-12.1639162831
10.9254006112,-28.6030701409,-4.2273252303
10.9254006112,-10.9254006112,-15.8121827495
17.6776695297,-17.6776695297,-6.4820779066
0.0000000000,-28.6030701409,-30.5507315065
0.0000000000,-35.3553390593,-19.1025712185
10.9254006112,-28.6030701409,-33.9778172067
6.7522689184,-46.2807396705,9.5512856093
17.6776695297,-39.5284707521,-5.3239603790
10.9254006112,-46.2807396705,-3.2903884690
-6.7522689184,-46.2807396705,9.5512856093
10.9254006112,-28.6030701409,4.2273252303
17.6776695297,-35.3553390593,6.2608971403
10.9254006112,-39.5284707521,15.4543047520
6.7522689184,-28.6030701409,-8.6143488480
-6.7522689184,-28.6030701409,-8.6143488480
10.9254006112,-35.3553390593,-14.5173679907
35.3553390593,-28.6030701409,-0.3578779975
35.3553390593,-28.6030701409,-18.7446932210
39.5284707521,-28.6030701409,-5.9030191428
35.3553390593,-35.3553390593,0.0000000000
28.6030701409,-35.3553390593,-20.7782651310
28.6030701409,-39.5284707521,-9.1934076117
17.6776695297,-46.2807396705,-5.6818383765
10.9254006112,-46.2807396705,3.2903884690
17.6776695297,-39.5284707521,5.3239603790
17.6776695297,-46.2807396705,5.6818383765
28.6030701409,-39.5284707521,9.1934076117
28.6030701409,-35.3553390593,8.9722268455
10.9254006112,-46.2807396705,-15.0964267545
17.6776695297,-39.5284707521,-24.4265315975
6.7522689184,-46.2807396705,-9.5512856093
17.6776695297,-35.3553390593,-24.6477123638
10.9254006112,-39.5284707521,-15.4543047520
17.6776695297,-35.3553390593,-6.2608971403
28.6030701409,-28.6030701409,-9.7724663755
28.6030701409,-28.6030701409,-21.1361431285
-17.6776695297,-28.6030701409,-35.6535111192
-17.6776695297,-46.2807396705,-5.6818383765
0.0000000000,-46.2807396705,-18.5235124547
0.0000000000,-39.5284707521,-29.9716727428
-10.9254006112,-46.2807396705,-15.0964267545
-17.6776695297,-39.5284707521,-24.4265315975
-10.9254006112,-35.3553390593,-33.6199392092
0.0000000000,-35.3553390593,-29.7504919765
-17.6776695297,-28.6030701409,-23.8474728337
-10.9254006112,-28.6030701409,-33.2620612117
-28.6030701409,-35.3553390593,-8.9722268455
-28.6030701409,-39.5284707521,-9.1934076117
-28.6030701409,-28.6030701409,-27.7169200665
-28.6030701409,-28.6030701409,-20.4203871335
-28.6030701409,-35.3553390593,-20.7782651310
-10.9254006112,-35.3553390593,-14.5173679907
0.0000000000,-39.5284707521,-18.1656344572
-10.9254006112,-46.2807396705,-3.2903884690
-17.6776695297,-39.5284707521,-5.3239603790
0.0000000000,-46.2807396705,-11.2269795218
-28.6030701409,-17.6776695297,28.2959788302
-10.9254006112,-28.6030701409,33.9778172067
-10.9254006112,-10.9254006112,34.1989979730
-17.6776695297,-17.6776695297,36.2325698830
-28.6030701409,-28.6030701409,21.1361431285
-28.6030701409,-28.6030701409,9.7724663755
-17.6776695297,-35.3553390593,24.6477123638
0.0000000000,-17.6776695297,30.6874287378
0.0000000000,-28.6030701409,30.5507315065
0.0000000000,-17.6776695297,19.3237519848
-10.9254006112,-10.9254006112,15.8121827495
-17.6776695297,-17.6776695297,6.4820779066
-28.6030701409,-10.9254006112,21.3573238948
-28.6030701409,-17.6776695297,9.9091636068
-17.6776695297,-6.7522689184,25.0055903613
0.0000000000,-35.3553390593,19.1025712185
0.0000000000,-28.6030701409,12.1639162831
-17.6776695297,-35.3553390593,6.2608971403
-10.9254006112,-39.5284707521,15.4543047520
-10.9254006112,-28.6030701409,4.2273252303
-28.6030701409,6.7522689184,-39.5229583520
28.6030701409,6.7522689184,8.6143488480
28.6030701409,6.7522689184,-8.6143488480
0.0000000000,6.7522689184,48.4951851975
-28.6030701409,6.7522689184,8.6143488480
6.7522689184,0.0000000000,10.1303443730
0.0000000000,0.0000000000,-10.6479207580
10.9254006112,0.0000000000,-2.7113297052
-10.9254006112,0.0000000000,-2.7113297052
-6.7522689184,0.0000000000,10.1303443730
17.6776695297,10.9254006112,-4.9660823815
-46.2807396705,0.0000000000,3.8694472328
-46.2807396705,0.0000000000,15.2331239857
-39.5284707521,0.0000000000,24.6477123638
-39.5284707521,0.0000000000,6.2608971403
-35.3553390593,0.0000000000,19.1025712185
0.0000000000,6.7522689184,-48.4951851975
17.6776695297,6.7522689184,-25.0055903613
-28.6030701409,0.0000000000,39.1650803545
-17.6776695297,0.0000000000,42.5921660547
-17.6776695297,0.0000000000,35.2956331217
-28.6030701409,0.0000000000,27.3590420689
-35.3553390593,0.0000000000,29.7504919765
-10.9254006112,10.9254006112,44.8469187310
-28.6030701409,10.9254006112,20.1992063672
-46.2807396705,0.0000000000,-15.2331239857
-35.3553390593,0.0000000000,-19.1025712185
-39.5284707521,0.0000000000,-24.6477123638
-39.5284707521,0.0000000000,-6.2608971403
-46.2807396705,0.0000000000,-3.8694472328
-35.3553390593,10.9254006112,-30.3295507403
-35.3553390593,10.9254006112,-0.5790587638
35.3553390593,0.0000000000,19.1025712185
46.2807396705,0.0000000000,15.2331239857
39.5284707521,0.0000000000,24.6477123638
39.5284707521,0.0000000000,6.2608971403
46.2807396705,0.0000000000,3.8694472328
35.3553390593,10.9254006112,0.5790587638
17.6776695297,0.0000000000,42.5921660547
28.6030701409,0.0000000000,39.1650803545
35.3553390593,0.0000000000,29.7504919765
28.6030701409,0.0000000000,27.3590420689
17.6776695297,0.0000000000,35.2956331217
10.9254006112,10.9254006112,44.8469187310
28.6030701409,10.9254006112,20.1992063672
-10.9254006112,35.3553390593,-33.6199392092
17.6776695297,0.0000000000,-35.2956331217
28.6030701409,0.0000000000,-27.3590420689
17.6776695297,0.0000000000,-42.5921660547
28.6030701409,0.0000000000,-39.1650803545
35.3553390593,0.0000000000,-29.7504919765
28.6030701409,10.9254006112,-20.1992063672
10.9254006112,10.9254006112,-44.8469187310
-6.7522689184,0.0000000000,-39.8808363495
-10.9254006112,0.0000000000,-45.4259774948
0.0000000000,0.0000000000,-48.8530631950
10.9254006112,0.0000000000,-45.4259774948
6.7522689184,0.0000000000,-39.8808363495
-17.6776695297,10.9254006112,-43.1712248185
-10.9254006112,17.6776695297,-45.2047967285
-6.7522689184,28.6030701409,-39.5229583520
0.0000000000,10.9254006112,-48.7163659638
10.9254006112,10.9254006112,-34.1989979730
6.7522689184,0.0000000000,-10.1303443730
-6.7522689184,0.0000000000,-10.1303443730
-10.9254006112,0.0000000000,2.7113297052
0.0000000000,0.0000000000,10.6479207580
10.9254006112,0.0000000000,2.7113297052
17.6776695297,10.9254006112,4.9660823815
-17.6776695297,10.9254006112,4.9660823815
10.9254006112,10.9254006112,-15.8121827495
17.6776695297,17.6776695297,-6.4820779066
17.6776695297,6.7522689184,25.0055903613
17.6776695297,17.6776695297,6.4820779066
10.9254006112,10.9254006112,15.8121827495
28.6030701409,10.9254006112,21.3573238948
28.6030701409,17.6776695297,9.9091636068
46.2807396705,6.7522689184,14.8752459882
46.2807396705,10.9254006112,15.0964267545
28.6030701409,28.6030701409,20.4203871335
39.5284707521,10.9254006112,24.0686536000
35.3553390593,17.6776695297,18.1656344572
-35.3553390593,0.0000000000,-29.7504919765
-17.6776695297,0.0000000000,-42.5921660547
-28.6030701409,0.0000000000,-39.1650803545
-28.6030701409,0.0000000000,-27.3590420689
-17.6776695297,0.0000000000,-35.2956331217
-28.6030701409,10.9254006112,-39.3017775857
-10.9254006112,10.9254006112,-44.8469187310
-17.6776695297,17.6776695297,-42.8133468210
-17.6776695297,28.6030701409,-35.6535111192
-17.6776695297,6.7522689184,-25.0055903613
-28.6030701409,10.9254006112,-21.3573238948
-28.6030701409,17.6776695297,-28.2959788302
-28.6030701409,17.6776695297,-9.9091636068
0.0000000000,17.6776695297,-30.6874287378
0.0000000000,28.6030701409,-30.5507315065
-10.9254006112,28.6030701409,-33.9778172067
-10.9254006112,10.9254006112,-34.1989979730
-17.6776695297,17.6776695297,-36.2325698830
0.0000000000,17.6776695297,-19.3237519848
-10.9254006112,10.9254006112,-15.8121827495
-17.6776695297,17.6776695297,-6.4820779066
0.0000000000,6.7522689184,29.3926139790
-17.6776695297,17.6776695297,23.7107756025
-10.9254006112,10.9254006112,33.0408804454
-6.7522689184,17.6776695297,38.9438995882
17.6776695297,28.6030701409,23.8474728337
10.9254006112,28.6030701409,33.2620612117
6.7522689184,17.6776695297,38.9438995882
10.9254006112,10.9254006112,33.0408804454
17.6776695297,17.6776695297,23.7107756025
-10.9254006112,17.6776695297,14.2961872244
0.0000000000,10.9254006112,17.8077564597
10.9254006112,17.6776695297,14.2961872244
-10.9254006112,28.6030701409,33.2620612117
-17.6776695297,28.6030701409,23.8474728337
0.0000000000,35.3553390593,29.7504919765
-28.6030701409,6.7522689184,39.5229583520
-35.3553390593,10.9254006112,30.3295507403
-28.6030701409,10.9254006112,39.3017775857
-17.6776695297,17.6776695297,42.8133468210
-17.6776695297,28.6030701409,35.6535111192
-10.9254006112,46.2807396705,-3.2903884690
10.9254006112,28.6030701409,4.2273252303
28.6030701409,6.7522689184,39.5229583520
35.3553390593,10.9254006112,30.3295507403
17.6776695297,28.6030701409,35.6535111192
28.6030701409,10.9254006112,39.3017775857
17.6776695297,17.6776695297,42.8133468210
28.6030701409,17.6776695297,28.2959788302
35.3553390593,17.6776695297,29.9716727428
28.6030701409,28.6030701409,27.7169200665
39.5284707521,17.6776695297,24.4265315975
28.6030701409,6.7522689184,-39.5229583520
17.6776695297,17.6776695297,-42.8133468210
28.6030701409,10.9254006112,-39.3017775857
10.9254006112,28.6030701409,-33.9778172067
17.6776695297,17.6776695297,-36.2325698830
10.9254006112,17.6776695297,-45.2047967285
6.7522689184,28.6030701409,-39.5229583520
17.6776695297,10.9254006112,-43.1712248185
-46.2807396705,6.7522689184,-14.8752459882
-46.2807396705,10.9254006112,-3.2903884690
-39.5284707521,17.6776695297,-24.4265315975
-46.2807396705,10.9254006112,-15.0964267545
-28.6030701409,28.6030701409,-27.7169200665
-39.5284707521,10.9254006112,-24.0686536000
-35.3553390593,17.6776695297,-29.9716727428
10.9254006112,28.6030701409,-4.2273252303
0.0000000000,46.2807396705,11.2269795218
-10.9254006112,28.6030701409,-4.2273252303
0.0000000000,28.6030701409,-12.1639162831
0.0000000000,35.3553390593,-19.1025712185
-10.9254006112,35.3553390593,14.5173679907
0.0000000000,39.5284707521,18.1656344572
6.7522689184,28.6030701409,8.6143488480
-6.7522689184,28.6030701409,8.6143488480
10.9254006112,35.3553390593,14.5173679907
0.0000000000,6.7522689184,-29.3926139790
10.9254006112,17.6776695297,-14.2961872244
0.0000000000,10.9254006112,-17.8077564597
-6.7522689184,17.6776695297,-38.9438995882
10.9254006112,10.9254006112,-33.0408804454
17.6776695297,17.6776695297,-23.7107756025
6.7522689184,17.6776695297,-38.9438995882
-10.9254006112,28.6030701409,-33.2620612117
-10.9254006112,10.9254006112,-33.0408804454
6.7522689184,28.6030701409,-8.6143488480
-10.9254006112,10.9254006112,15.8121827495
-17.6776695297,6.7522689184,25.0055903613
-28.6030701409,10.9254006112,21.3573238948
0.0000000000,17.6776695297,19.3237519848
-28.6030701409,17.6776695297,28.2959788302
-28.6030701409,28.6030701409,21.1361431285
0.0000000000,28.6030701409,12.1639162831
28.6030701409,28.6030701409,9.7724663755
17.6776695297,35.3553390593,6.2608971403
28.6030701409,35.3553390593,20.7782651310
35.3553390593,28.6030701409,18.7446932210
28.6030701409,28.6030701409,21.1361431285
35.3553390593,0.0000000000,-19.1025712185
46.2807396705,0.0000000000,-3.8694472328
39.5284707521,0.0000000000,-6.2608971403
39.5284707521,0.0000000000,-24.6477123638
46.2807396705,0.0000000000,-15.2331239857
28.6030701409,10.9254006112,-21.3573238948
35.3553390593,10.9254006112,-0.5790587638
28.6030701409,17.6776695297,-9.9091636068
39.5284707521,17.6776695297,5.3239603790
46.2807396705,10.9254006112,3.2903884690
28.6030701409,17.6776695297,-28.2959788302
35.3553390593,10.9254006112,-30.3295507403
-46.2807396705,10.9254006112,15.0964267545
-35.3553390593,17.6776695297,18.1656344572
-46.2807396705,6.7522689184,14.8752459882
-39.5284707521,10.9254006112,24.0686536000
-39.5284707521,17.6776695297,5.3239603790
-46.2807396705,10.9254006112,3.2903884690
-28.6030701409,28.6030701409,20.4203871335
-28.6030701409,35.3553390593,20.7782651310
-28.6030701409,28.6030701409,27.7169200665
-39.5284707521,17.6776695297,24.4265315975
-35.3553390593,28.6030701409,18.7446932210
-35.3553390593,17.6776695297,29.9716727428
-46.2807396705,17.6776695297,-3.6482664665
-46.2807396705,17.6776695297,3.6482664665
-39.5284707521,28.6030701409,5.9030191428
-6.7522689184,0.0000000000,39.8808363495
0.0000000000,0.0000000000,48.8530631950
6.7522689184,0.0000000000,39.8808363495
-10.9254006112,0.0000000000,45.4259774948
10.9254006112,0.0000000000,45.4259774948
0.0000000000,10.9254006112,48.7163659638
10.9254006112,10.9254006112,34.1989979730
-10.9254006112,17.6776695297,45.2047967285
-17.6776695297,10.9254006112,43.1712248185
17.6776695297,17.6776695297,36.2325698830
17.6776695297,10.9254006112,43.1712248185
10.9254006112,17.6776695297,45.2047967285
-10.9254006112,10.9254006112,34.1989979730
0.0000000000,17.6776695297,30.6874287378
-17.6776695297,17.6776695297,36.2325698830
-17.6776695297,10.9254006112,-4.9660823815
-28.6030701409,6.7522689184,-8.6143488480
-35.3553390593,10.9254006112,0.5790587638
-28.6030701409,10.9254006112,-20.1992063672
-17.6776695297,39.5284707521,-5.3239603790
-35.3553390593,17.6776695297,-18.1656344572
-28.6030701409,28.6030701409,-20.4203871335
-28.6030701409,35.3553390593,-8.9722268455
-35.3553390593,28.6030701409,0.3578779975
-39.5284707521,17.6776695297,-5.3239603790
-10.9254006112,35.3553390593,-14.5173679907
-6.7522689184,28.6030701409,-8.6143488480
-17.6776695297,17.6776695297,-23.7107756025
-17.6776695297,28.6030701409,-23.8474728337
-10.9254006112,17.6776695297,-14.2961872244
-17.6776695297,35.3553390593,6.2608971403
-10.9254006112,28.6030701409,4.2273252303
-28.6030701409,17.6776695297,9.9091636068
-28.6030701409,28.6030701409,9.7724663755
-17.6776695297,17.6776695297,6.4820779066
0.0000000000,39.5284707521,-29.9716727428
0.0000000000,46.2807396705,-18.5235124547
0.0000000000,35.3553390593,-29.7504919765
0.0000000000,46.2807396705,-11.2269795218
17.6776695297,28.6030701409,-35.6535111192
10.9254006112,35.3553390593,-33.6199392092
10.9254006112,46.2807396705,-3.2903884690
10.9254006112,35.3553390593,-14.5173679907
0.0000000000,39.5284707521,-18.1656344572
17.6776695297,28.6030701409,-23.8474728337
10.9254006112,28.6030701409,-33.2620612117
17.6776695297,39.5284707521,-5.3239603790
-17.6776695297,39.5284707521,-24.4265315975
-17.6776695297,46.2807396705,-5.6818383765
-10.9254006112,46.2807396705,-15.0964267545
-17.6776695297,46.2807396705,5.6818383765
-28.6030701409,28.6030701409,-21.1361431285
-28.6030701409,28.6030701409,-9.7724663755
-17.6776695297,35.3553390593,-24.6477123638
-28.6030701409,35.3553390593,-20.7782651310
-28.6030701409,39.5284707521,-9.1934076117
-35.3553390593,28.6030701409,-18.7446932210
-10.9254006112,39.5284707521,-15.4543047520
-17.6776695297,35.3553390593,-6.2608971403
-10.9254006112,46.2807396705,3.2903884690
-17.6776695297,39.5284707521,5.3239603790
-6.7522689184,46.2807396705,-9.5512856093
-35.3553390593,35.3553390593,0.0000000000
-39.5284707521,28.6030701409,-5.9030191428
-28.6030701409,39.5284707521,9.1934076117
-28.6030701409,35.3553390593,8.9722268455
-35.3553390593,28.6030701409,-0.3578779975
0.0000000000,46.2807396705,18.5235124547
0.0000000000,39.5284707521,29.9716727428
-17.6776695297,39.5284707521,24.4265315975
-10.9254006112,46.2807396705,15.0964267545
-10.9254006112,35.3553390593,33.6199392092
-6.7522689184,46.2807396705,9.5512856093
10.9254006112,35.3553390593,33.6199392092
-10.9254006112,39.5284707521,15.4543047520
0.0000000000,35.3553390593,19.1025712185
-17.6776695297,35.3553390593,24.6477123638
17.6776695297,39.5284707521,24.4265315975
17.6776695297,35.3553390593,24.6477123638
6.7522689184,46.2807396705,9.5512856093
10.9254006112,39.5284707521,15.4543047520
10.9254006112,46.2807396705,15.0964267545
0.0000000000,28.6030701409,30.5507315065
-10.9254006112,28.6030701409,33.9778172067
6.7522689184,28.6030701409,39.5229583520
10.9254006112,28.6030701409,33.9778172067
-6.7522689184,28.6030701409,39.5229583520
6.7522689184,46.2807396705,-9.5512856093
28.6030701409,35.3553390593,8.9722268455
17.6776695297,35.3553390593,-24.6477123638
17.6776695297,35.3553390593,-6.2608971403
10.9254006112,39.5284707521,-15.4543047520
10.9254006112,46.2807396705,3.2903884690
17.6776695297,39.5284707521,5.3239603790
28.6030701409,39.5284707521,9.1934076117
17.6776695297,46.2807396705,5.6818383765
28.6030701409,28.6030701409,-21.1361431285
28.6030701409,28.6030701409,-9.7724663755
35.3553390593,28.6030701409,-0.3578779975
17.6776695297,46.2807396705,-5.6818383765
10.9254006112,46.2807396705,-15.0964267545
17.6776695297,39.5284707521,-24.4265315975
46.2807396705,10.9254006112,-3.2903884690
46.2807396705,6.7522689184,-14.8752459882
39.5284707521,17.6776695297,-5.3239603790
39.5284707521,10.9254006112,-24.0686536000
35.3553390593,17.6776695297,-18.1656344572
35.3553390593,17.6776695297,-29.9716727428
46.2807396705,17.6776695297,3.6482664665
39.5284707521,28.6030701409,5.9030191428
35.3553390593,28.6030701409,0.3578779975
46.2807396705,10.9254006112,-15.0964267545
46.2807396705,17.6776695297,-3.6482664665
39.5284707521,17.6776695297,-24.4265315975
28.6030701409,35.3553390593,-8.9722268455
28.6030701409,28.6030701409,-20.4203871335
28.6030701409,28.6030701409,-27.7169200665
28.6030701409,35.3553390593,-20.7782651310
28.6030701409,39.5284707521,-9.1934076117
39.5284707521,28.6030701409,-5.9030191428
35.3553390593,28.6030701409,-18.7446932210
35.3553390593,35.3553390593,0.0000000000
