n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
240,0.6199593469,0.5295084972,-0.3831559480,0.0000000000,34.4095480118,29.3892626146,-11.4902148310
241,0.0000000000,-0.2368033989,0.1463525492,-0.8567627458,0.0000000000,-13.1432778030,-35.6254516413
242,-0.1463525492,0.2368033989,0.3831559480,0.7663118961,-8.1229924058,13.1432778030,47.2801135026
243,0.1463525492,0.2368033989,0.3831559480,-0.7663118961,8.1229924058,13.1432778030,-24.2996838406
244,0.8567627458,0.2368033989,0.0000000000,0.1463525492,47.5528258148,13.1432778030,6.8352624193
245,-0.4736067977,0.0000000000,0.0000000000,-0.7663118961,-26.2865556060,0.0000000000,-35.7898986716
246,-0.3831559480,-0.7663118961,-0.1463525492,0.2368033989,-21.2662702088,-42.5325404176,6.6708153891
247,0.0000000000,0.4736067977,0.7663118961,0.0000000000,0.0000000000,26.2865556060,22.9804296621
248,0.2368033989,-0.3831559480,-0.6199593469,-0.4736067977,13.1432778030,-21.2662702088,-40.7109319676
249,0.6199593469,0.0000000000,-0.5295084972,-0.3831559480,34.4095480118,0.0000000000,-33.7740356942
250,0.4736067977,-0.3831559480,0.2368033989,0.6199593469,26.2865556060,-21.2662702088,36.0559795559
251,0.2368033989,0.3831559480,0.6199593469,0.4736067977,13.1432778030,21.2662702088,40.7109319676
252,0.3831559480,-0.1463525492,-0.2368033989,-0.7663118961,21.2662702088,-8.1229924058,-42.8912419752
253,0.4736067977,0.2368033989,0.6199593469,0.3831559480,26.2865556060,13.1432778030,36.4865074704
254,0.1463525492,0.2368033989,0.8567627458,0.0000000000,8.1229924058,13.1432778030,25.6929014383
255,-0.7663118961,-0.3831559480,-0.2368033989,-0.1463525492,-42.5325404176,-21.2662702088,-13.9366057229
256,0.3831559480,0.1463525492,-0.2368033989,0.7663118961,21.2662702088,8.1229924058,28.6885553680
257,0.0000000000,0.5295084972,0.6199593469,0.3831559480,0.0000000000,29.3892626146,36.4865074704
258,0.7663118961,-0.4736067977,0.0000000000,0.0000000000,42.5325404176,-26.2865556060,0.0000000000
259,-0.6199593469,0.3831559480,0.4736067977,0.2368033989,-34.4095480118,21.2662702088,25.2623735237
260,0.2368033989,-0.1463525492,-0.7663118961,-0.3831559480,13.1432778030,-8.1229924058,-40.8753789979
261,0.1463525492,0.6199593469,-0.6199593469,0.1463525492,8.1229924058,34.4095480118,-11.7562957153
262,-0.2368033989,0.8567627458,-0.1463525492,0.0000000000,-13.1432778030,47.5528258148,-4.3888715274
263,-0.3831559480,0.0000000000,0.6199593469,0.5295084972,-21.2662702088,0.0000000000,43.3217698898
264,-0.1463525492,-0.3831559480,-0.7663118961,-0.2368033989,-8.1229924058,-21.2662702088,-34.0401165785
265,0.6199593469,0.1463525492,-0.6199593469,-0.1463525492,34.4095480118,8.1229924058,-25.4268205540
266,0.2368033989,0.3831559480,0.1463525492,0.7663118961,13.1432778030,21.2662702088,40.1787701990
267,-0.7663118961,-0.2368033989,0.1463525492,-0.3831559480,-42.5325404176,-13.1432778030,-13.5060778084
268,-0.2368033989,-0.3831559480,-0.1463525492,0.7663118961,-13.1432778030,-21.2662702088,31.4010271442
269,-0.2368033989,0.3831559480,-0.6199593469,0.4736067977,-13.1432778030,21.2662702088,3.5278156983
270,-0.6199593469,-0.3831559480,-0.4736067977,0.2368033989,-34.4095480118,-21.2662702088,-3.1429996908
271,-0.1463525492,-0.7663118961,0.2368033989,-0.3831559480,-8.1229924058,-42.5325404176,-10.7936060322
272,-0.2368033989,0.1463525492,0.7663118961,-0.3831559480,-13.1432778030,8.1229924058,5.0854803263
273,-0.6199593469,0.3831559480,0.0000000000,-0.5295084972,-34.4095480118,21.2662702088,-24.7302117551
274,0.7663118961,0.1463525492,0.3831559480,0.2368033989,42.5325404176,8.1229924058,22.5499017475
275,-0.5295084972,0.0000000000,-0.3831559480,-0.6199593469,-29.3892626146,0.0000000000,-40.4448510833
276,0.7663118961,-0.1463525492,-0.3831559480,-0.2368033989,42.5325404176,-8.1229924058,-22.5499017475
277,0.2368033989,0.0000000000,-0.8567627458,-0.1463525492,13.1432778030,0.0000000000,-32.5281638576
278,0.4736067977,-0.6199593469,-0.3831559480,0.2368033989,26.2865556060,-34.4095480118,-0.4305279146
279,0.3831559480,0.2368033989,0.7663118961,-0.1463525492,21.2662702088,13.1432778030,16.1451672427
280,0.7663118961,0.3831559480,0.2368033989,0.1463525492,42.5325404176,21.2662702088,13.9366057229
281,0.3831559480,0.6199593469,0.2368033989,0.4736067977,21.2662702088,34.4095480118,29.2207171366
282,0.0000000000,0.1463525492,0.8567627458,0.2368033989,0.0000000000,8.1229924058,36.7525883547
283,0.2368033989,0.0000000000,0.8567627458,0.1463525492,13.1432778030,0.0000000000,32.5281638576
284,-0.6199593469,0.3831559480,-0.4736067977,-0.2368033989,-34.4095480118,21.2662702088,-25.2623735237
285,0.3831559480,-0.5295084972,0.0000000000,0.6199593469,21.2662702088,-29.3892626146,28.9546362523
286,0.7663118961,-0.2368033989,-0.1463525492,0.3831559480,42.5325404176,-13.1432778030,13.5060778084
287,-0.2368033989,0.6199593469,-0.4736067977,-0.3831559480,-13.1432778030,34.4095480118,-32.0976359430
288,-0.1463525492,0.7663118961,-0.2368033989,-0.3831559480,-8.1229924058,42.5325404176,-24.9962926394
289,0.0000000000,0.5295084972,-0.6199593469,0.3831559480,0.0000000000,29.3892626146,-0.6966087989
290,-0.6199593469,0.0000000000,0.5295084972,-0.3831559480,-34.4095480118,0.0000000000,-2.0158629773
291,-0.6199593469,0.3831559480,0.4736067977,-0.2368033989,-34.4095480118,21.2662702088,3.1429996908
292,0.1463525492,-0.8567627458,0.0000000000,-0.2368033989,8.1229924058,-47.5528258148,-11.0596869165
293,0.3831559480,0.4736067977,0.6199593469,-0.2368033989,21.2662702088,26.2865556060,7.5318712182
294,-0.2368033989,-0.1463525492,-0.7663118961,-0.3831559480,-13.1432778030,-8.1229924058,-40.8753789979
295,-0.3831559480,0.4736067977,0.6199593469,0.2368033989,-21.2662702088,26.2865556060,29.6512450511
296,-0.2368033989,0.6199593469,0.4736067977,-0.3831559480,-13.1432778030,34.4095480118,-3.6922627286
297,0.0000000000,-0.6199593469,0.3831559480,0.5295084972,0.0000000000,-34.4095480118,36.2204265861
298,-0.3831559480,0.7663118961,0.1463525492,-0.2368033989,-21.2662702088,42.5325404176,-6.6708153891
299,-0.4736067977,-0.6199593469,-0.3831559480,0.2368033989,-26.2865556060,-34.4095480118,-0.4305279146
300,0.5295084972,0.0000000000,0.3831559480,0.6199593469,29.3892626146,0.0000000000,40.4448510833
301,-0.5295084972,-0.3831559480,0.6199593469,0.0000000000,-29.3892626146,-21.2662702088,18.5915581346
302,-0.3831559480,0.1463525492,0.2368033989,-0.7663118961,-21.2662702088,8.1229924058,-28.6885553680
303,0.8567627458,0.1463525492,0.2368033989,0.0000000000,47.5528258148,8.1229924058,7.1013433036
304,0.7663118961,-0.2368033989,0.1463525492,0.3831559480,42.5325404176,-13.1432778030,22.2838208632
305,-0.3831559480,-0.1463525492,-0.2368033989,-0.7663118961,-21.2662702088,-8.1229924058,-42.8912419752
306,0.0000000000,0.2368033989,-0.1463525492,0.8567627458,0.0000000000,13.1432778030,35.6254516413
307,0.3831559480,0.6199593469,-0.2368033989,-0.4736067977,21.2662702088,34.4095480118,-29.2207171366
308,0.4736067977,-0.6199593469,-0.3831559480,-0.2368033989,26.2865556060,-34.4095480118,-22.5499017475
309,0.2368033989,-0.3831559480,0.6199593469,0.4736067977,13.1432778030,-21.2662702088,40.7109319676
310,0.1463525492,0.7663118961,-0.2368033989,-0.3831559480,8.1229924058,42.5325404176,-24.9962926394
311,0.1463525492,0.1463525492,-0.6199593469,-0.6199593469,8.1229924058,8.1229924058,-47.5461943869
312,0.3831559480,-0.7663118961,0.1463525492,0.2368033989,21.2662702088,-42.5325404176,15.4485584439
313,0.3831559480,-0.6199593469,0.5295084972,0.0000000000,21.2662702088,-34.4095480118,15.8790863584
314,-0.3831559480,-0.7663118961,-0.1463525492,-0.2368033989,-21.2662702088,-42.5325404176,-15.4485584439
315,0.6199593469,-0.3831559480,0.0000000000,0.5295084972,34.4095480118,-21.2662702088,24.7302117551
316,-0.2368033989,-0.3831559480,0.1463525492,-0.7663118961,-13.1432778030,-21.2662702088,-31.4010271442
317,-0.4736067977,0.2368033989,0.6199593469,0.3831559480,-26.2865556060,13.1432778030,36.4865074704
318,-0.1463525492,0.8567627458,0.0000000000,0.2368033989,-8.1229924058,47.5528258148,11.0596869165
319,-0.6199593469,0.2368033989,0.3831559480,0.4736067977,-34.4095480118,13.1432778030,33.6095886640
320,0.0000000000,0.8567627458,-0.2368033989,-0.1463525492,0.0000000000,47.5528258148,-13.9366057229
321,-0.2368033989,0.4736067977,0.3831559480,-0.6199593469,-13.1432778030,26.2865556060,-17.4644214212
322,0.0000000000,0.0000000000,0.4736067977,-0.7663118961,0.0000000000,0.0000000000,-21.5872120644
323,-0.1463525492,0.6199593469,-0.6199593469,-0.1463525492,-8.1229924058,34.4095480118,-25.4268205540
324,0.2368033989,-0.8567627458,0.1463525492,0.0000000000,13.1432778030,-47.5528258148,4.3888715274
325,-0.3831559480,0.4736067977,0.6199593469,-0.2368033989,-21.2662702088,26.2865556060,7.5318712182
326,-0.2368033989,-0.3831559480,-0.6199593469,0.4736067977,-13.1432778030,-21.2662702088,3.5278156983
327,0.6199593469,0.2368033989,0.3831559480,-0.4736067977,34.4095480118,13.1432778030,-10.6291590019
328,0.3831559480,0.2368033989,0.4736067977,-0.6199593469,21.2662702088,13.1432778030,-14.7519496450
329,-0.8567627458,-0.2368033989,0.0000000000,-0.1463525492,-47.5528258148,-13.1432778030,-6.8352624193
330,-0.6199593469,0.4736067977,-0.2368033989,0.3831559480,-34.4095480118,26.2865556060,10.7936060322
331,0.2368033989,0.1463525492,-0.7663118961,0.3831559480,13.1432778030,8.1229924058,-5.0854803263
332,-0.1463525492,-0.2368033989,-0.8567627458,0.0000000000,-8.1229924058,-13.1432778030,-25.6929014383
333,0.5295084972,0.6199593469,0.0000000000,-0.3831559480,29.3892626146,34.4095480118,-17.8949493358
334,0.3831559480,-0.2368033989,0.7663118961,0.1463525492,21.2662702088,-13.1432778030,29.8156920814
335,-0.1463525492,0.0000000000,-0.2368033989,0.8567627458,-8.1229924058,0.0000000000,32.9129798651
336,-0.6199593469,-0.3831559480,-0.4736067977,-0.2368033989,-34.4095480118,-21.2662702088,-25.2623735237
337,0.6199593469,-0.6199593469,0.1463525492,0.1463525492,34.4095480118,-34.4095480118,11.2241339467
338,0.0000000000,0.7663118961,0.4736067977,0.0000000000,0.0000000000,42.5325404176,14.2026866072
339,-0.2368033989,0.3831559480,0.6199593469,-0.4736067977,-13.1432778030,21.2662702088,-3.5278156983
340,-0.6199593469,-0.3831559480,0.4736067977,-0.2368033989,-34.4095480118,-21.2662702088,3.1429996908
341,-0.1463525492,0.2368033989,-0.3831559480,0.7663118961,-8.1229924058,13.1432778030,24.2996838406
342,-0.3831559480,-0.6199593469,0.2368033989,-0.4736067977,-21.2662702088,-34.4095480118,-15.0180305293
343,-0.1463525492,0.3831559480,0.7663118961,0.2368033989,-8.1229924058,21.2662702088,34.0401165785
344,0.7663118961,0.1463525492,-0.3831559480,-0.2368033989,42.5325404176,8.1229924058,-22.5499017475
345,0.1463525492,0.6199593469,0.1463525492,0.6199593469,8.1229924058,34.4095480118,33.3435077797
346,-0.8567627458,0.0000000000,-0.1463525492,0.2368033989,-47.5528258148,0.0000000000,6.6708153891
347,-0.3831559480,-0.6199593469,-0.2368033989,0.4736067977,-21.2662702088,-34.4095480118,15.0180305293
348,0.3831559480,-0.4736067977,-0.6199593469,0.2368033989,21.2662702088,-26.2865556060,-7.5318712182
349,-0.2368033989,0.3831559480,0.1463525492,0.7663118961,-13.1432778030,21.2662702088,40.1787701990
350,0.1463525492,0.6199593469,-0.1463525492,0.6199593469,8.1229924058,34.4095480118,24.5657647249
351,-0.6199593469,-0.6199593469,-0.1463525492,0.1463525492,-34.4095480118,-34.4095480118,2.4463908919
352,0.3831559480,0.7663118961,-0.1463525492,0.2368033989,21.2662702088,42.5325404176,6.6708153891
353,0.6199593469,-0.4736067977,0.2368033989,0.3831559480,34.4095480118,-26.2865556060,24.9962926394
354,-0.6199593469,0.0000000000,-0.5295084972,0.3831559480,-34.4095480118,0.0000000000,2.0158629773
355,-0.3831559480,0.0000000000,-0.6199593469,-0.5295084972,-21.2662702088,0.0000000000,-43.3217698898
356,0.0000000000,0.4736067977,0.0000000000,-0.7663118961,0.0000000000,26.2865556060,-35.7898986716
357,0.0000000000,-0.1463525492,-0.8567627458,-0.2368033989,0.0000000000,-8.1229924058,-36.7525883547
358,0.2368033989,-0.7663118961,-0.3831559480,0.1463525492,13.1432778030,-42.5325404176,-4.6549524117
359,0.2368033989,-0.1463525492,0.0000000000,0.8567627458,13.1432778030,-8.1229924058,40.0143231687
360,0.1463525492,-0.6199593469,0.6199593469,0.1463525492,8.1229924058,-34.4095480118,25.4268205540
361,-0.2368033989,-0.4736067977,-0.3831559480,-0.6199593469,-13.1432778030,-26.2865556060,-40.4448510833
362,-0.4736067977,-0.6199593469,-0.3831559480,-0.2368033989,-26.2865556060,-34.4095480118,-22.5499017475
363,-0.1463525492,-0.2368033989,0.3831559480,-0.7663118961,-8.1229924058,-13.1432778030,-24.2996838406
364,0.1463525492,-0.2368033989,0.3831559480,-0.7663118961,8.1229924058,-13.1432778030,-24.2996838406
365,-0.2368033989,0.4736067977,0.3831559480,0.6199593469,-13.1432778030,26.2865556060,40.4448510833
366,-0.4736067977,0.3831559480,-0.2368033989,-0.6199593469,-26.2865556060,21.2662702088,-36.0559795559
367,-0.3831559480,-0.4736067977,0.6199593469,-0.2368033989,-21.2662702088,-26.2865556060,7.5318712182
368,-0.6199593469,-0.1463525492,-0.1463525492,-0.6199593469,-34.4095480118,-8.1229924058,-33.3435077797
369,0.0000000000,0.0000000000,0.7663118961,0.4736067977,0.0000000000,0.0000000000,45.0998034950
370,0.0000000000,-0.8567627458,0.2368033989,0.1463525492,0.0000000000,-47.5528258148,13.9366057229
371,-0.6199593469,-0.4736067977,0.2368033989,-0.3831559480,-34.4095480118,-26.2865556060,-10.7936060322
372,0.4736067977,-0.2368033989,0.6199593469,-0.3831559480,26.2865556060,-13.1432778030,0.6966087989
373,-0.6199593469,0.5295084972,0.3831559480,0.0000000000,-34.4095480118,29.3892626146,11.4902148310
374,-0.2368033989,-0.4736067977,-0.3831559480,0.6199593469,-13.1432778030,-26.2865556060,17.4644214212
375,-0.5295084972,0.3831559480,0.6199593469,0.0000000000,-29.3892626146,21.2662702088,18.5915581346
376,0.1463525492,-0.6199593469,-0.6199593469,-0.1463525492,8.1229924058,-34.4095480118,-25.4268205540
377,-0.2368033989,0.7663118961,0.3831559480,-0.1463525492,-13.1432778030,42.5325404176,4.6549524117
378,0.0000000000,0.5295084972,0.6199593469,-0.3831559480,0.0000000000,29.3892626146,0.6966087989
379,0.4736067977,0.0000000000,-0.7663118961,0.0000000000,26.2865556060,0.0000000000,-22.9804296621
380,-0.8567627458,-0.1463525492,-0.2368033989,0.0000000000,-47.5528258148,-8.1229924058,-7.1013433036
381,-0.2368033989,0.6199593469,-0.4736067977,0.3831559480,-13.1432778030,34.4095480118,3.6922627286
382,0.3831559480,-0.4736067977,-0.6199593469,-0.2368033989,21.2662702088,-26.2865556060,-29.6512450511
383,-0.3831559480,-0.4736067977,-0.6199593469,0.2368033989,-21.2662702088,-26.2865556060,-7.5318712182
384,0.6199593469,-0.2368033989,-0.3831559480,0.4736067977,34.4095480118,-13.1432778030,10.6291590019
385,0.6199593469,-0.4736067977,-0.2368033989,-0.3831559480,34.4095480118,-26.2865556060,-24.9962926394
386,0.4736067977,0.0000000000,0.0000000000,-0.7663118961,26.2865556060,0.0000000000,-35.7898986716
387,-0.6199593469,-0.1463525492,-0.6199593469,0.1463525492,-34.4095480118,-8.1229924058,-11.7562957153
388,0.0000000000,0.8567627458,0.2368033989,0.1463525492,0.0000000000,47.5528258148,13.9366057229
389,0.1463525492,0.2368033989,-0.3831559480,0.7663118961,8.1229924058,13.1432778030,24.2996838406
390,-0.6199593469,-0.2368033989,-0.3831559480,-0.4736067977,-34.4095480118,-13.1432778030,-33.6095886640
391,0.7663118961,0.0000000000,0.4736067977,0.0000000000,42.5325404176,0.0000000000,14.2026866072
392,0.6199593469,0.6199593469,-0.1463525492,0.1463525492,34.4095480118,34.4095480118,2.4463908919
393,-0.2368033989,-0.3831559480,0.6199593469,-0.4736067977,-13.1432778030,-21.2662702088,-3.5278156983
394,-0.4736067977,-0.2368033989,0.6199593469,-0.3831559480,-26.2865556060,-13.1432778030,0.6966087989
395,-0.1463525492,-0.2368033989,0.8567627458,0.0000000000,-8.1229924058,-13.1432778030,25.6929014383
396,0.1463525492,-0.1463525492,0.6199593469,-0.6199593469,8.1229924058,-8.1229924058,-10.3630781176
397,0.7663118961,0.4736067977,0.0000000000,0.0000000000,42.5325404176,26.2865556060,0.0000000000
398,0.7663118961,0.3831559480,-0.2368033989,-0.1463525492,42.5325404176,21.2662702088,-13.9366057229
399,0.0000000000,-0.7663118961,0.0000000000,-0.4736067977,0.0000000000,-42.5325404176,-22.1193738330
400,0.0000000000,0.3831559480,0.5295084972,-0.6199593469,0.0000000000,21.2662702088,-13.0755498938
401,-0.3831559480,0.7663118961,-0.1463525492,0.2368033989,-21.2662702088,42.5325404176,6.6708153891
402,0.1463525492,0.2368033989,-0.8567627458,0.0000000000,8.1229924058,13.1432778030,-25.6929014383
403,-0.5295084972,-0.6199593469,0.0000000000,0.3831559480,-29.3892626146,-34.4095480118,17.8949493358
404,0.1463525492,0.0000000000,0.2368033989,0.8567627458,8.1229924058,0.0000000000,47.1156664724
405,0.0000000000,-0.4736067977,-0.7663118961,0.0000000000,0.0000000000,-26.2865556060,-22.9804296621
406,-0.1463525492,0.3831559480,0.7663118961,-0.2368033989,-8.1229924058,21.2662702088,11.9207427456
407,-0.3831559480,0.6199593469,0.5295084972,0.0000000000,-21.2662702088,34.4095480118,15.8790863584
408,0.4736067977,-0.3831559480,-0.2368033989,0.6199593469,26.2865556060,-21.2662702088,21.8532929487
409,0.6199593469,0.6199593469,-0.1463525492,-0.1463525492,34.4095480118,34.4095480118,-11.2241339467
410,0.3831559480,-0.6199593469,0.2368033989,0.4736067977,21.2662702088,-34.4095480118,29.2207171366
411,-0.1463525492,0.6199593469,0.1463525492,-0.6199593469,-8.1229924058,34.4095480118,-24.5657647249
412,-0.3831559480,0.2368033989,-0.7663118961,0.1463525492,-21.2662702088,13.1432778030,-16.1451672427
413,-0.1463525492,-0.2368033989,-0.3831559480,-0.7663118961,-8.1229924058,-13.1432778030,-47.2801135026
414,0.6199593469,-0.5295084972,-0.3831559480,0.0000000000,34.4095480118,-29.3892626146,-11.4902148310
415,0.2368033989,-0.1463525492,0.7663118961,-0.3831559480,13.1432778030,-8.1229924058,5.0854803263
416,0.5295084972,0.0000000000,-0.3831559480,0.6199593469,29.3892626146,0.0000000000,17.4644214212
417,-0.2368033989,-0.6199593469,-0.4736067977,-0.3831559480,-13.1432778030,-34.4095480118,-32.0976359430
418,0.0000000000,0.0000000000,-0.4736067977,0.7663118961,0.0000000000,0.0000000000,21.5872120644
419,0.4736067977,0.2368033989,-0.6199593469,-0.3831559480,26.2865556060,13.1432778030,-36.4865074704
420,-0.4736067977,-0.3831559480,-0.2368033989,-0.6199593469,-26.2865556060,-21.2662702088,-36.0559795559
421,-0.2368033989,0.8567627458,0.1463525492,0.0000000000,-13.1432778030,47.5528258148,4.3888715274
422,0.1463525492,-0.1463525492,-0.6199593469,0.6199593469,8.1229924058,-8.1229924058,10.3630781176
423,-0.2368033989,0.6199593469,0.4736067977,0.3831559480,-13.1432778030,34.4095480118,32.0976359430
424,-0.6199593469,-0.1463525492,0.1463525492,0.6199593469,-34.4095480118,-8.1229924058,33.3435077797
425,0.6199593469,0.1463525492,-0.6199593469,0.1463525492,34.4095480118,8.1229924058,-11.7562957153
426,0.0000000000,-0.1463525492,0.8567627458,-0.2368033989,0.0000000000,-8.1229924058,14.6332145218
427,-0.6199593469,0.6199593469,-0.1463525492,-0.1463525492,-34.4095480118,34.4095480118,-11.2241339467
428,-0.6199593469,0.0000000000,-0.5295084972,-0.3831559480,-34.4095480118,0.0000000000,-33.7740356942
429,0.2368033989,-0.4736067977,0.3831559480,-0.6199593469,13.1432778030,-26.2865556060,-17.4644214212
430,-0.2368033989,-0.6199593469,0.4736067977,-0.3831559480,-13.1432778030,-34.4095480118,-3.6922627286
431,-0.2368033989,0.0000000000,0.8567627458,-0.1463525492,-13.1432778030,0.0000000000,18.8576390189
432,0.3831559480,-0.7663118961,-0.1463525492,-0.2368033989,21.2662702088,-42.5325404176,-15.4485584439
433,0.5295084972,0.6199593469,0.0000000000,0.3831559480,29.3892626146,34.4095480118,17.8949493358
434,0.6199593469,0.6199593469,0.1463525492,-0.1463525492,34.4095480118,34.4095480118,-2.4463908919
435,0.0000000000,0.1463525492,-0.8567627458,0.2368033989,0.0000000000,8.1229924058,-14.6332145218
436,-0.4736067977,-0.3831559480,-0.2368033989,0.6199593469,-26.2865556060,-21.2662702088,21.8532929487
437,0.2368033989,0.0000000000,-0.8567627458,0.1463525492,13.1432778030,0.0000000000,-18.8576390189
438,0.1463525492,-0.3831559480,-0.7663118961,-0.2368033989,8.1229924058,-21.2662702088,-34.0401165785
439,0.3831559480,0.2368033989,0.7663118961,0.1463525492,21.2662702088,13.1432778030,29.8156920814
440,0.3831559480,-0.6199593469,-0.2368033989,-0.4736067977,21.2662702088,-34.4095480118,-29.2207171366
441,-0.1463525492,-0.7663118961,0.2368033989,0.3831559480,-8.1229924058,-42.5325404176,24.9962926394
442,-0.1463525492,-0.6199593469,0.1463525492,0.6199593469,-8.1229924058,-34.4095480118,33.3435077797
443,0.1463525492,-0.6199593469,-0.6199593469,0.1463525492,8.1229924058,-34.4095480118,-11.7562957153
444,0.2368033989,-0.4736067977,0.3831559480,0.6199593469,13.1432778030,-26.2865556060,40.4448510833
445,-0.3831559480,0.0000000000,-0.6199593469,0.5295084972,-21.2662702088,0.0000000000,6.1386536205
446,-0.2368033989,-0.1463525492,-0.7663118961,0.3831559480,-13.1432778030,-8.1229924058,-5.0854803263
447,0.7663118961,-0.1463525492,0.3831559480,-0.2368033989,42.5325404176,-8.1229924058,0.4305279146
448,0.0000000000,0.6199593469,0.3831559480,0.5295084972,0.0000000000,34.4095480118,36.2204265861
449,0.8567627458,-0.1463525492,-0.2368033989,0.0000000000,47.5528258148,-8.1229924058,-7.1013433036
450,0.6199593469,-0.1463525492,0.1463525492,-0.6199593469,34.4095480118,-8.1229924058,-24.5657647249
451,0.2368033989,0.7663118961,0.3831559480,0.1463525492,13.1432778030,42.5325404176,18.3254772503
452,0.6199593469,0.3831559480,0.0000000000,0.5295084972,34.4095480118,21.2662702088,24.7302117551
453,0.3831559480,-0.1463525492,-0.2368033989,0.7663118961,21.2662702088,-8.1229924058,28.6885553680
454,0.0000000000,-0.3831559480,0.5295084972,-0.6199593469,0.0000000000,-21.2662702088,-13.0755498938
455,-0.3831559480,-0.4736067977,-0.6199593469,-0.2368033989,-21.2662702088,-26.2865556060,-29.6512450511
456,0.7663118961,0.3831559480,-0.2368033989,0.1463525492,42.5325404176,21.2662702088,-0.2660808843
457,-0.1463525492,-0.1463525492,0.6199593469,-0.6199593469,-8.1229924058,-8.1229924058,-10.3630781176
458,-0.8567627458,0.1463525492,0.2368033989,0.0000000000,-47.5528258148,8.1229924058,7.1013433036
459,-0.1463525492,0.1463525492,0.6199593469,0.6199593469,-8.1229924058,8.1229924058,47.5461943869
460,-0.2368033989,-0.7663118961,-0.3831559480,-0.1463525492,-13.1432778030,-42.5325404176,-18.3254772503
461,-0.2368033989,-0.8567627458,-0.1463525492,0.0000000000,-13.1432778030,-47.5528258148,-4.3888715274
462,0.0000000000,-0.4736067977,0.0000000000,0.7663118961,0.0000000000,-26.2865556060,35.7898986716
463,0.0000000000,0.2368033989,0.1463525492,0.8567627458,0.0000000000,13.1432778030,44.4031946962
464,0.4736067977,-0.2368033989,0.6199593469,0.3831559480,26.2865556060,-13.1432778030,36.4865074704
465,0.0000000000,0.2368033989,-0.1463525492,-0.8567627458,0.0000000000,13.1432778030,-44.4031946962
466,-0.4736067977,-0.7663118961,0.0000000000,0.0000000000,-26.2865556060,-42.5325404176,0.0000000000
467,0.0000000000,-0.5295084972,-0.6199593469,0.3831559480,0.0000000000,-29.3892626146,-0.6966087989
468,0.7663118961,-0.2368033989,0.1463525492,-0.3831559480,42.5325404176,-13.1432778030,-13.5060778084
469,-0.6199593469,-0.1463525492,-0.1463525492,0.6199593469,-34.4095480118,-8.1229924058,24.5657647249
470,0.1463525492,0.8567627458,0.0000000000,0.2368033989,8.1229924058,47.5528258148,11.0596869165
471,-0.7663118961,-0.1463525492,-0.3831559480,0.2368033989,-42.5325404176,-8.1229924058,-0.4305279146
472,-0.2368033989,-0.3831559480,-0.6199593469,-0.4736067977,-13.1432778030,-21.2662702088,-40.7109319676
473,-0.5295084972,0.0000000000,0.3831559480,0.6199593469,-29.3892626146,0.0000000000,40.4448510833
474,0.0000000000,0.8567627458,-0.2368033989,0.1463525492,0.0000000000,47.5528258148,-0.2660808843
475,0.1463525492,-0.2368033989,-0.3831559480,0.7663118961,8.1229924058,-13.1432778030,24.2996838406
476,-0.4736067977,0.2368033989,-0.6199593469,-0.3831559480,-26.2865556060,13.1432778030,-36.4865074704
477,0.1463525492,-0.7663118961,0.2368033989,-0.3831559480,8.1229924058,-42.5325404176,-10.7936060322
478,-0.4736067977,0.0000000000,0.7663118961,0.0000000000,-26.2865556060,0.0000000000,22.9804296621
